Cruise,Station,StationID,Latitude,Longitude,FishNum,Time,Station_Depth,Region,FL_mm,Species,Centropages_spp,Calanus_spp,PPC,Temora_longicornis,Calanoida,Candacia_spp,Caligus_spp,Hyperiidea,Phronimidae,Hyperia_spp,Parathemisto_spp,Pronoidae,Lycaenidae,Mysidae,Mysis mixta,Mysis bigelowi,Neomysis spp.,Oikopleura spp.,Limacina helicina,Clione limacina,Euphausiacea,Euphausia spp.,Meganyctiphanes norvegica,Thysanopoda spp.,Thysanoessa spp.,Nematoscelis spp.,Gammarus spp.,Ampithoidae,Gammaria spp.,Haustoriidae,Corophiidae,Liljeborgiidae,Meltidae,Aoridae,Chaetognatha,Ostracoda,Crustacean_Larvae,Cladocera,Ammodytes spp.,Larval_Fish,Fish_Remains,Polychaeta,Cumacea,Isopoda,Other,Unknown,EST_YEAR,EST_MONTH,EST_DAY,SURFTEMP,BOTTEMP
201402,258,201402-258,42.55,-66.46666667,251,12:21,211,GoM,242,A. pseudoharengus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
201402,355,201402-355,41.6,-69.71666667,275,21:56,172,GoM,172,A. aestivalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
201402,355,201402-355,41.6,-69.71666667,277,21:56,172,GoM,188,A. aestivalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
201404,111,201404-111,41.3,-71.13333333,594,18:44,37,SNE,117,P. triacanthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA
201404,111,201404-111,41.3,-71.13333333,595,05:50,57,GoM,210,P. triacanthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA
201404,111,201404-111,41.3,-71.13333333,596,05:50,57,GoM,187,P. triacanthus,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
201404,354,201404-354,41.68333333,-69.61666667,579,19:40,30,GoM,179,C. harengus,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
201504,237,201504-237,41.215,-69.39,662,08:11,26,GoM,108,S. scombrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,NA,NA,NA,NA,NA
201504,237,201504-237,41.215,-69.39,663,08:11,26,GoM,148,S. scombrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,NA,NA,NA,NA,NA
201504,237,201504-237,41.215,-69.39,664,08:11,26,GoM,145,S. scombrus,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
